id	technicalName	alias	establishedBy	monthEstablished	yearEstablished	linkToVideo	videoStartTime	videoEndTime	startPos	endPos	difficultyLevel	description	descriptionEs	tips	tipsEs	recommendedPrerequisites	dateAdded	isImportant
10000	Panic Roll		Jediah Doohan			https://www.youtube.com/watch?v=12HbVhoFloM			SOFA	KOREAN	2	From Sofa you spin 270 to land in Korean (or Chest) and combine it with a roll around the line.	Desde Sofa giras 270 para aterrizar en Korean (o Chest) y lo combinas con un giro alrededor de la línea.	Sit in Sofa position grab the line to the side of you with hands facing behind you. On the way up dive down where your hands are and roll around the line. Land in Korean or Chest.	Siéntate en posición de sofá y agarra la línea a tu lado con las manos mirando hacia atrás. Al subir, sumérgete donde están tus manos y rueda alrededor de la línea. Aterriza en coreano o en pecho.	10225	1 Jan 2022	
10001	Side Sofa Roll	Utinni Roll	Michele Eibeck		2021	https://www.instagram.com/p/CNYQEb4Jt1M/			SOFA	SOFA	1	Start in Sofa. Both hands next to you (right or left) holding on to the line. Then do a Sofa Roll with your body leaning towards the line where your hands are.	Comienza en el sofá. Las dos manos a tu lado (derecha o izquierda) sujetándose a la línea. Luego haz un Sofa Roll con tu cuerpo inclinado hacia la línea donde están tus manos.	Stay small and compact during the roll.	Manténgase pequeño y compacto durante el rodaje.		1 Jan 2022	FALSE
10003	Sofa Roll from Korean	Richy Roll	Richard Schupisser			https://youtu.be/yzx3j2WKvGA?t=15	15	21	KOREAN	SOFA	2	From Korean let yourself fall to the side and immediately after you start the roll swing one leg over the line to finish the roll as a Sofa Roll.	Desde korean déjate caer hacia un lado e inmediatamente después de empezar el roll balancea una pierna sobre la línea para terminar el rollo como un sofa-roll				1 Jan 2022	
10004	Hammock Roll		Samuel Volery		2016	https://www.youtube.com/watch?v=maY2RjAJs1g			BACK	BACK	1	Lie on your back and grab the line behind your head with both hands. Hook one foot under the line and roll around the line landing again in Backbounce.	Túmbate de espaldas y agarra la línea por detrás de la cabeza con ambas manos. Engancha un pie bajo la línea y rueda alrededor de la línea aterrizando de nuevo en Backbounce.				1 Jan 2022	
10005	Sofa Roll		Samuel Volery		2016	https://www.youtube.com/watch?v=Ugw1gRm-T0U			SOFA	SOFA	1	Sit in Sofa, grab the line with both hands and press the line against your body. Then let yourself fall backward.	Siéntate en sofá, agarra la línea con ambas manos y presiona la línea contra tu culo. A continuación, déjate caer hacia atrás.	Leash to the side can help prevent bad falls.; If you fall into a backlever position let go of the line in order to save your shoulders.	La correa a un lado puede ayudar a prevenir las malas caídas; si se cae en una posición de espalda, suelte la línea para salvar sus hombros.		1 Jan 2022	
10006	Belly Roll					https://www.youtube.com/watch?v=1qJJ26dPKyc			BELLY	BELLY	1	With both hands on the line supporting your weight you lie on your belly and roll forward around the line.	Con las dos manos en la línea soportando tu peso, te tumbas sobre el vientre de manera perpendicular y ruedas hacia delante alrededor de la línea.				1 Jan 2022	
10007	Chest Roll					https://www.youtube.com/watch?v=ih6Rx-UpBfw&t=333	333	339	CHEST	CHEST	1	From lying on your chest get some momentum with your free arm and then roll around the line grabbing it with both hands. Land back in chest.	Desde el pecho toma impulso con la pierna libre y luego rueda alrededor de la línea agarrándola con ambas manos. Aterriza de nuevo en el pecho.	You can wrap the foot around the line to avoid falling away from the line.	Puede envolver el pie alrededor de la línea para evitar que se caiga de la línea.		1 Jan 2022	
10011	Korean Roll					https://www.youtube.com/watch?v=yze-WPst9R8			KOREAN	KOREAN	1	Sit in Korean, grab the line in front of you with both hands and let yourself fall to the side.	Siéntese en Korean, agarre la línea frente a usted con ambas manos y déjese caer hacia un lado.	Sometimes called "Harry Potter Roll"	A veces llamado "Rollo de Harry Potter"		1 Jan 2022	
10012	Back Korean Roll to Sofa		Sakalomo		2021	https://youtu.be/7yLCyoHgUS0?t=783	783	790	KOREAN	SOFA	2	Do a Back Korean Roll but the legs go away from the line so you can go to Sofa when landing.	Inicia el movimiento de un back korean roll pero pasa una pierna por delante para terminar en sofa al final del roll				1 Jan 2022	
10013	Freefall 360 Roll		Eli Ellis		2019	https://www.instagram.com/p/Bsi7_vTlN0Y/			SOFA	CHEST	2	Freefall with a Roll. Similar to Panic Roll but starting in Sofa facing the other anchor.	Caída libre con un roll. Similar al Panic Roll pero comenzando en Sofá de cara al otro anclaje				1 Jan 2022	FALSE
